State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Chattisgarh,Durg,"Durg APMC",Tinda,Tinda,Medium,21/04/2026,1000,1200,1000
Chattisgarh,Durg,"Durg APMC",Cowpea(Veg),"Cowpea (Veg)",Local,21/04/2026,1000,1200,1000
Chattisgarh,Durg,"Durg APMC","Jack Fruit(Ripe)","Jack Fruit",Local,21/04/2026,1800,2000,2000
Chattisgarh,Durg,"Durg APMC",Carrot,Carrot,Medium,21/04/2026,2600,2800,2800
Chattisgarh,Durg,"Durg APMC",Tomato,Local,Local,21/04/2026,400,600,600
Chattisgarh,Durg,"Durg APMC",Brinjal,Brinjal,Local,21/04/2026,800,1000,1000
"Madhya Pradesh",Khandwa,"Sanawad(F&V) APMC",Pumpkin,Other,"Grade A",21/04/2026,1000,1500,1200
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Bitter gourd","Bitter Gourd",Medium,21/04/2026,3300,3700,3500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Cauliflower,Cauliflower,Medium,21/04/2026,1600,2000,1800
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Pumpkin,Pumpkin,Medium,21/04/2026,600,1000,800
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Karbuja(Musk Melon)",Karbhuja,Medium,21/04/2026,1800,2200,2000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Grapes,Green,Medium,21/04/2026,10500,10900,10700
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Mousambi(Sweet Lime)",Mousambi,Medium,21/04/2026,5500,5900,5700
"Uttar Pradesh",Aligarh,"Atrauli APMC","Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,21/04/2026,1800,1900,1850
"Uttar Pradesh",Aligarh,"Atrauli APMC",Wood,Other,FAQ,21/04/2026,500,600,550
Assam,Kamrup,"Fancy Bazaar APMC",Rice,Fine,FAQ,21/04/2026,3400,8100,7000
Assam,Kamrup,"Fancy Bazaar APMC","Wheat Atta","Wheat Atta",FAQ,21/04/2026,6400,8000,7400
"Uttar Pradesh",Azamgarh,"Azamgarh APMC",Wheat,Local,FAQ,21/04/2026,2425,2425,2425
"Uttar Pradesh",Badaun,"Babrala APMC",Wheat,Other,Local,21/04/2026,2590,2600,2595
"West Bengal",Nadia,"Karimpur APMC","Green Chilli","Green Chilly","Grade A",21/04/2026,3800,4200,4000
"Madhya Pradesh",Badwani,"Sendhwa(F&V) APMC",Ginger(Green),"Green Ginger",Medium,21/04/2026,2100,2800,2600
Haryana,Mewat,"Tauru APMC",Mango,Other,Medium,21/04/2026,8000,8000,8000
Rajasthan,Bharatpur,"Nadwai APMC",Wheat,Other,Local,21/04/2026,2380,2601,2405
Gujarat,Patan,"Siddhpur APMC","Castor Seed","Castor seed",FAQ,21/04/2026,6000,6430,6215
Gujarat,Patan,"Siddhpur APMC","Suva(Dill Seed)","Suva (Dill Seed)",FAQ,21/04/2026,8200,9075,8637
"West Bengal",Medinipur(W),"Ghatal APMC",Paddy(Common),Common,Local,21/04/2026,2370,2395,2380
"West Bengal",Nadia,"Ranaghat APMC",Potato,Jyoti,FAQ,21/04/2026,680,700,690
"NCT of Delhi",Delhi,"Flower Market,Gazipur APMC",BOP,Other,FAQ,21/04/2026,30,50,40
"NCT of Delhi",Delhi,"Flower Market,Gazipur APMC","Tube Rose(Single)","Tube Rose (Single)",FAQ,21/04/2026,30,50,40
"NCT of Delhi",Delhi,"Flower Market,Gazipur APMC",Carnation,Other,FAQ,21/04/2026,80,120,100
"NCT of Delhi",Delhi,"Flower Market,Gazipur APMC",Lilly,Other,FAQ,21/04/2026,200,280,240
"Uttar Pradesh",Bareilly,"Bareilly APMC","Green Chilli",Other,FAQ,21/04/2026,2500,2500,2500
"Uttar Pradesh",Bareilly,"Bareilly APMC",Capsicum,Other,FAQ,21/04/2026,2200,2200,2200
"Uttar Pradesh",Bareilly,"Bareilly APMC",Wheat,Dara,FAQ,21/04/2026,2300,2310,2306.95
"Uttar Pradesh",Badaun,"Bilsi APMC",Onion,Other,FAQ,21/04/2026,1500,1500,1500
"Uttar Pradesh",Aligarh,"Charra APMC","Green Chilli","Green Chilly",FAQ,21/04/2026,4200,4300,4250
"Uttar Pradesh",Aligarh,"Charra APMC",Cabbage,Cabbage,FAQ,21/04/2026,800,900,850
"Uttar Pradesh",Saharanpur,"Chutmalpur APMC",Raddish,Raddish,Local,21/04/2026,800,1000,900
"Uttar Pradesh",Saharanpur,"Chutmalpur APMC",Pumpkin,Pumpkin,Local,21/04/2026,600,800,700
"Uttar Pradesh",Saharanpur,"Chutmalpur APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,21/04/2026,900,1100,1000
"Uttar Pradesh",Mau(Maunathbhanjan),"Doharighat APMC",Rice,"1009 Kar",FAQ,21/04/2026,4200,4200,4200
"Uttar Pradesh",Mau(Maunathbhanjan),"Doharighat APMC",Cauliflower,Other,FAQ,21/04/2026,1600,1600,1600
"Uttar Pradesh",Mau(Maunathbhanjan),"Doharighat APMC",Lemon,Lemon,FAQ,21/04/2026,5800,5800,5800
"Uttar Pradesh",Etah,"Etah APMC",Wheat,Medium,FAQ,21/04/2026,2600,2600,2600
"West Bengal",Kolkata,"Bara Bazar (Posta Bazar) APMC",Ginger(Dry),Dry,FAQ,21/04/2026,5700,6150,6000
"West Bengal",Kolkata,"Bara Bazar (Posta Bazar) APMC",Onion,Nasik,FAQ,21/04/2026,1500,1600,1560
"West Bengal",Kolkata,"Bara Bazar (Posta Bazar) APMC",Potato,Other,FAQ,21/04/2026,580,650,620
"West Bengal",Kolkata,"Bara Bazar (Posta Bazar) APMC",Onion,Other,FAQ,21/04/2026,1250,1380,1340
Maharashtra,Jalana,"Bhokardan(Pimpalgaon Renu) APMC",Wheat,Other,Non-FAQ,21/04/2026,2000,2150,2100
Maharashtra,Kolhapur,"Kolhapur APMC","Green Chilli",Other,Local,21/04/2026,2500,4500,3500
"Uttar Pradesh",Farukhabad,"Farukhabad APMC",Potato,Local,FAQ,21/04/2026,400,600,500
Maharashtra,Nagpur,"Kamthi APMC","Bhindi(Ladies Finger)",Other,Local,21/04/2026,1530,2030,1780
Maharashtra,Nagpur,"Kamthi APMC",Guar,Other,Local,21/04/2026,3070,3570,3320
Maharashtra,Nagpur,"Kamthi APMC","Bitter gourd",Other,Local,21/04/2026,3520,4020,3770
Maharashtra,Nagpur,"Kamthi APMC",Cabbage,Other,Local,21/04/2026,1040,1540,1290
Maharashtra,Nagpur,"Kamthi APMC",Garlic,Other,Local,21/04/2026,11050,12050,11550
Maharashtra,Nagpur,"Nagpur APMC",Beetroot,Other,Local,21/04/2026,1200,1500,1425
Maharashtra,Nagpur,"Nagpur APMC",Guar,Other,Local,21/04/2026,1000,3000,2625
Maharashtra,Nagpur,"Nagpur APMC","Green Chilli",Other,Local,21/04/2026,2000,3000,2750
Maharashtra,Nashik,"Pimpalgaon Baswant(Saykheda) APMC",Onion,Other,Local,21/04/2026,450,1052,775
Maharashtra,Pune,"Pune(Moshi) APMC",Guar,Other,Local,21/04/2026,4000,5000,4500
Maharashtra,Pune,"Pune(Pimpri) APMC","Bhindi(Ladies Finger)",Other,Local,21/04/2026,3000,3500,3250
Maharashtra,Pune,"Pune(Pimpri) APMC",Mango(Raw-Ripe),Other,Local,21/04/2026,2300,3200,2750
Maharashtra,Pune,"Pune(Pimpri) APMC",Cabbage,Other,Local,21/04/2026,700,1000,850
Maharashtra,Pune,"Pune(Pimpri) APMC",Coriander(Leaves),Other,Local,21/04/2026,8,10,9
Maharashtra,Pune,"Pune(Pimpri) APMC",Tomato,Local,Local,21/04/2026,1400,2000,1700
Maharashtra,Satara,"Vai APMC",Ginger(Green),Other,Local,21/04/2026,4000,5000,4500
Maharashtra,Thane,"Ulhasnagar APMC",Wheat,Other,FAQ,21/04/2026,3000,3200,3100
Maharashtra,Thane,"Ulhasnagar APMC",Rice,Other,Local,21/04/2026,4000,6000,5000
"Uttar Pradesh",Aligarh,"Khair APMC",Wheat,Dara,"Grade Range-2",21/04/2026,2420,2420,2420
"Uttar Pradesh",Aligarh,"Khair APMC","Bitter gourd","Bitter Gourd","Grade B",21/04/2026,3200,3200,3200
"Uttar Pradesh",Bulandshahar,"Khurja APMC",Wheat,PBW-343,FAQ,21/04/2026,2455,2455,2455
"Uttar Pradesh",Hamirpur,"Muskara APMC",Wood,Other,FAQ,21/04/2026,450,510,480
"Uttar Pradesh",Muzaffarnagar,"Muzzafarnagar APMC",Gur(Jaggery),Other,FAQ,21/04/2026,3600,3600,3600
"Uttar Pradesh",Balrampur,"Panchpedwa APMC",Rice,Other,FAQ,21/04/2026,2600,2800,2700
"Uttar Pradesh",Pratapgarh,"Pratapgarh APMC",Potato,Potato,FAQ,21/04/2026,615,615,615
"Uttar Pradesh",Pratapgarh,"Pratapgarh APMC",Wood,Other,FAQ,21/04/2026,500,500,500
"Uttar Pradesh",Prayagraj,"Prayagraj APMC",Potato,Other,FAQ,21/04/2026,500,500,500
"Uttar Pradesh",Barabanki,"Safdarganj APMC",Wheat,Dara,FAQ,21/04/2026,2400,2400,2400
"Uttar Pradesh",Badaun,"Shahaswan APMC",Wheat,Other,FAQ,21/04/2026,2400,2420,2408
"Uttar Pradesh",Bulandshahar,"Sikarpur APMC",Lemon,Lemon,FAQ,21/04/2026,5800,6000,5900
"Uttar Pradesh",Bulandshahar,"Sikarpur APMC","Green Chilli","Green Chilly",FAQ,21/04/2026,3400,3600,3500
"Uttar Pradesh",Bulandshahar,"Sikarpur APMC",Pumpkin,Pumpkin,FAQ,21/04/2026,800,1000,900
"Uttar Pradesh",Bulandshahar,"Sikarpur APMC","Bitter gourd","Bitter Gourd",FAQ,21/04/2026,3800,4000,3900
"Uttar Pradesh",Hathras,"Sikandraraau APMC",Potato,Other,FAQ,21/04/2026,450,550,500
"Uttar Pradesh",Prayagraj,"Sirsa APMC",Ginger(Green),"Green Ginger",FAQ,21/04/2026,3500,4650,4620
"Uttar Pradesh",Prayagraj,"Sirsa APMC",Tomato,Other,FAQ,21/04/2026,1500,1600,1550
"Uttar Pradesh",Balrampur,"Tulsipur APMC",Lentil(Masur)(Whole),"Masoor Gola",FAQ,21/04/2026,7300,7350,7325
"Uttar Pradesh",Badaun,"Wazirganj APMC",Wheat,Other,FAQ,21/04/2026,2410,2410,2410
"Uttar Pradesh",Ghazipur,"Yusufpur APMC",Rice,Common,FAQ,21/04/2026,2400,2400,2400
Tripura,Dhalai,"Kulai APMC",Cow,Cow,"Grade Range-2",21/04/2026,25000,28000,27000
"West Bengal",Kolkata,"Sealdah Koley Market APMC",Ridgeguard(Tori),Other,FAQ,21/04/2026,4500,5000,5000
"West Bengal",Kolkata,"Sealdah Koley Market APMC",Cauliflower,Other,FAQ,21/04/2026,2200,2500,2300
"West Bengal",Kolkata,"Sealdah Koley Market APMC",Carrot,Other,FAQ,21/04/2026,1800,2200,2000
"West Bengal",Kolkata,"Sealdah Koley Market APMC","Bitter gourd",Other,FAQ,21/04/2026,4000,5100,4000
Punjab,Ferozpur,"Zira APMC",Papaya,Other,"Grade A",21/04/2026,2800,2800,2800
Punjab,Ferozpur,"Zira APMC",Tomato,Other,Local,21/04/2026,3000,3000,3000
"West Bengal","North 24 Parganas","Habra APMC","Green Chilli","Green Chilly",FAQ,21/04/2026,3200,3200,3200
"West Bengal",Darjeeling,"Darjeeling APMC",Raddish,Raddish,FAQ,21/04/2026,2400,2600,2500
Kerala,Wayanad,"Pulpally APMC","Black pepper",Ungrabled,Local,21/04/2026,67600,67800,67700
Kerala,Wayanad,"Pulpally APMC",Pumpkin,Other,Local,21/04/2026,1100,1300,1200
Kerala,Wayanad,"Pulpally APMC",Cucumbar(Kheera),Other,Local,21/04/2026,1500,1700,1600
"Madhya Pradesh",Jhabua,"Thandla APMC","Bengal Gram(Gram)(Whole)","Chana Kanta",FAQ,21/04/2026,5450,5450,5450
"Madhya Pradesh",Alirajpur,"Alirajpur APMC","Bengal Gram(Gram)(Whole)",Gram,FAQ,21/04/2026,5100,5100,5100
"Madhya Pradesh",Khargone,"Karhi APMC","Kabuli Chana(Chickpeas-White)","Dollar Gram",FAQ,21/04/2026,7605,8155,8155
"Madhya Pradesh",Khargone,"Segaon APMC",Wheat,Wheat,FAQ,21/04/2026,2200,2200,2200
"Madhya Pradesh",Khargone,"Segaon APMC",Wheat,Wheat,Non-FAQ,21/04/2026,2425,2425,2425
"Madhya Pradesh",Ratlam,"Taal APMC",Wheat,Wheat,FAQ,21/04/2026,2280,2280,2280
Punjab,Jalandhar,"Phillaur(Apra Mandi) APMC",Wheat,Other,Non-FAQ,21/04/2026,2585,2585,2585
Punjab,Jalandhar,"Phillaur(Apra Mandi) APMC",Cucumbar(Kheera),Other,FAQ,21/04/2026,1200,1200,1200
Punjab,Jalandhar,"Phillaur(Apra Mandi) APMC",Brinjal,Other,FAQ,21/04/2026,2000,2000,2000
"Madhya Pradesh",Datia,"Datia APMC",Wheat,"Mill Quality",FAQ,21/04/2026,2280,2405,2350
"Madhya Pradesh",Datia,"Datia APMC",Wheat,Wheat,FAQ,21/04/2026,2350,2360,2360
"Madhya Pradesh",Sagar,"Bina APMC","Green Peas",Pea,FAQ,21/04/2026,3250,3941,3941
Punjab,Sangrur,"Lehra Gaga APMC",Pineapple,Other,"Grade A",21/04/2026,5500,5500,5500
"Madhya Pradesh",Tikamgarh,"Khargapur APMC",Wheat,"Mill Quality",FAQ,21/04/2026,2290,2300,2290
"Madhya Pradesh",Mandla,"Bichhiya APMC",Paddy(Common),Dhan,Non-FAQ,21/04/2026,2005,2005,2005
"Madhya Pradesh",Mandla,"Bichhiya APMC",Paddy(Common),Common,Non-FAQ,21/04/2026,2010,2015,2015
Gujarat,Kheda,"Kapadvanj APMC",Potato,Potato,Medium,21/04/2026,500,1000,750
Gujarat,Banaskanth,"Tharad APMC",Wheat,Other,Local,21/04/2026,2175,2400,2300
Gujarat,Banaskanth,"Tharad APMC","Cummin Seed(Jeera)",Other,Local,21/04/2026,14500,22730,18615
Gujarat,Banaskanth,"Thara APMC",Wheat,Other,FAQ,21/04/2026,2075,2805,2440
Gujarat,Banaskanth,"Bhabhar APMC","Castor Seed","Castor seed",FAQ,21/04/2026,6275,6390,6340
Gujarat,Banaskanth,"Bhabhar APMC",Mustard,Mustard,FAQ,21/04/2026,6150,6275,6220
Gujarat,Ahmedabad,"Ahmedabad(Chimanbhai Patal Market Vasana) APMC",Onion,Nasik,FAQ,21/04/2026,800,1400,1250
Gujarat,Dahod,"Dahod(Veg. Market) APMC","Cluster beans","Cluster Beans",Local,21/04/2026,1000,3000,2500
Gujarat,Dahod,"Dahod(Veg. Market) APMC","Bhindi(Ladies Finger)",Bhindi,Local,21/04/2026,600,1800,1500
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Pumpkin,Pumpkin,Local,21/04/2026,1000,1500,1200
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Onion,Onion,Local,21/04/2026,200,1500,1300
Gujarat,Dahod,"Dahod(Veg. Market) APMC","French Beans(Frasbean)","French Beans (Frasbean)",Local,21/04/2026,5000,5000,5000
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Spinach,Spinach,Local,21/04/2026,1000,2000,1700
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Ginger(Green),"Green Ginger",Local,21/04/2026,4000,5500,5000
Gujarat,Dahod,"Dahod(Veg. Market) APMC","Pea Pod/Pea Cod/हरी मटर","Peas cod",Local,21/04/2026,10000,10000,10000
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Potato,Potato,Local,21/04/2026,900,1200,1100
Gujarat,Anand,"Khambhat(Veg Yard Khambhat) APMC",Methi(Leaves),Methi,Local,21/04/2026,3000,5000,4000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat) APMC",Cabbage,Other,Local,21/04/2026,1000,1500,1200
Gujarat,Anand,"Khambhat(Veg Yard Khambhat) APMC","Green Chilli",Other,Local,21/04/2026,1500,3500,2500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat) APMC",Potato,Desi,Local,21/04/2026,1000,1400,1200
Gujarat,Panchmahals,"Godhra(Timbaroad) APMC","Castor Seed",Other,Local,21/04/2026,6215,6230,6220
Gujarat,Sabarkantha,"Modasa(Tintoi) APMC",Maize,"Hybrid Red (Cattle Feed)",Non-FAQ,21/04/2026,1650,1850,1850
"West Bengal",Medinipur(W),"Medinipur(West) APMC",Onion,Onion,FAQ,21/04/2026,1450,1550,1500
"West Bengal",Medinipur(W),"Medinipur(West) APMC",Cucumbar(Kheera),Cucumbar,FAQ,21/04/2026,3400,3600,3500
"West Bengal",Medinipur(W),"Medinipur(West) APMC","Green Chilli","Green Chilly",FAQ,21/04/2026,5100,5300,5200
"West Bengal",Medinipur(W),"Medinipur(West) APMC",Cabbage,Cabbage,FAQ,21/04/2026,1600,1700,1650
"West Bengal",Medinipur(W),"Medinipur(West) APMC","Bottle gourd","Bottle Gourd",FAQ,21/04/2026,1200,1300,1250
"Himachal Pradesh",Bilaspur,"PMY Bilaspur",Banana,Other,"Grade B",21/04/2026,2400,2800,2500
"Himachal Pradesh",Bilaspur,"PMY Bilaspur",Guava,"Guava Allahabad","Grade C",21/04/2026,8000,9000,8500
"Himachal Pradesh",Bilaspur,"PMY Bilaspur","Bitter gourd",Other,"Grade C",21/04/2026,3000,3500,3200
Gujarat,Mehsana,"Mehsana(Jornang) APMC","Bajra(Pearl Millet/Cumbu)",Local,Local,21/04/2026,1500,2000,1750
Gujarat,Mehsana,"Mehsana(Mehsana Veg) APMC",Mango,Badami,Local,21/04/2026,2000,8000,6500
Gujarat,Mehsana,"Mehsana(Mehsana Veg) APMC","Green Chilli","Green Chilly",Local,21/04/2026,1000,3000,2000
Gujarat,Mehsana,"Mehsana(Mehsana Veg) APMC",Mango,Other,Local,21/04/2026,200,4000,2250
Gujarat,Rajkot,"Rajkot APMC",Mustard,Mustard,FAQ,21/04/2026,5250,6140,5930
Gujarat,Rajkot,"Rajkot APMC","Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,21/04/2026,4575,5300,5240
Gujarat,Rajkot,"Rajkot APMC","Methi Seeds",Methiseeds,FAQ,21/04/2026,6000,9000,7900
Gujarat,Rajkot,"Rajkot APMC","Corriander seed","Coriander Seed",FAQ,21/04/2026,11150,12675,12350
Gujarat,Morbi,"Morbi APMC",Groundnut,Other,FAQ,21/04/2026,6000,7370,6685
Gujarat,Morbi,"Morbi APMC","Bottle gourd","Bottle Gourd",FAQ,21/04/2026,500,900,700
Gujarat,Morbi,"Morbi APMC","Bitter gourd","Bitter Gourd",FAQ,21/04/2026,2000,3000,2500
Gujarat,Morbi,"Morbi APMC",Brinjal,Brinjal,FAQ,21/04/2026,700,1500,1100
Gujarat,Amreli,"Rajula APMC","Sesamum(Sesame,Gingelly,Til)",Black,Local,21/04/2026,13000,16705,14852
Gujarat,Amreli,"Rajula APMC",Cotton,Local,Local,21/04/2026,6250,8750,7500
Gujarat,Bhavnagar,"Bhavnagar APMC",Wheat,Local,FAQ,21/04/2026,2350,2350,2350
Gujarat,Bhavnagar,"Bhavnagar APMC","Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/04/2026,9250,9250,9250
Gujarat,Bhavnagar,"Bhavnagar APMC","Cummin Seed(Jeera)",Other,FAQ,21/04/2026,18563,18563,18563
Gujarat,Bhavnagar,"Bhavnagar APMC",Onion,White,FAQ,21/04/2026,787,787,787
Gujarat,Junagarh,"Junagadh APMC","Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/04/2026,7500,9750,9000
Gujarat,Junagarh,"Junagadh APMC","Kabuli Chana(Chickpeas-White)","Kabuli Chana(Chickpeas-white)",FAQ,21/04/2026,5000,6850,5500
Gujarat,Surendranagar,"Vadhvan APMC",Brinjal,Brinjal,Local,21/04/2026,2000,2500,2250
Gujarat,Surendranagar,"Vadhvan APMC","Banana - Green","Banana - Green",Medium,21/04/2026,1000,1500,1250
Gujarat,Rajkot,"Jasdan APMC","Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,21/04/2026,1500,2500,2125
Gujarat,Rajkot,"Jasdan APMC",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,21/04/2026,6500,8800,8400
Gujarat,Rajkot,"Jasdan APMC","Methi Seeds",Methiseeds,FAQ,21/04/2026,2500,6350,5000
Gujarat,Rajkot,"Upleta APMC","Bengal Gram(Gram)(Whole)","Desi (Whole)",Local,21/04/2026,5000,5205,5120
Gujarat,Botad,"Botad APMC","Sesamum(Sesame,Gingelly,Til)",Black,FAQ,21/04/2026,11950,18000,14500
Gujarat,Botad,"Botad APMC","Bengal Gram(Gram)(Whole)",Other,FAQ,21/04/2026,5075,5280,5150
Gujarat,Botad,"Botad APMC","Arhar(Tur/Red Gram)(Whole)",Other,FAQ,21/04/2026,5000,7310,6150
Gujarat,Rajkot,"Dhoraji APMC",Cotton,"H.B (Unginned)",Non-FAQ,21/04/2026,7380,8855,8580
Gujarat,Kachchh,"Rapar APMC",Isabgul(Psyllium),"Isabgul (Psyllium)",Local,21/04/2026,6060,6880,6470
Gujarat,Junagarh,"Visavadar APMC",Wheat,"Lokwan Gujrat",FAQ,21/04/2026,2150,2380,2270
Gujarat,Junagarh,"Visavadar APMC",Soyabean,Black,FAQ,21/04/2026,4950,5290,5120
Gujarat,Junagarh,"Visavadar APMC","Sesamum(Sesame,Gingelly,Til)",Black,FAQ,21/04/2026,14400,16480,15440
Gujarat,Junagarh,"Visavadar APMC",Groundnut,Other,FAQ,21/04/2026,5875,7105,6490
Gujarat,Porbandar,"Porbandar APMC",Garlic,Average,FAQ,21/04/2026,8000,11000,9500
Gujarat,Porbandar,"Porbandar APMC",Ginger(Green),"Green Ginger",FAQ,21/04/2026,6000,8000,7000
Gujarat,Porbandar,"Porbandar APMC","Green Gram(Moong)(Whole)","Green (Whole)",FAQ,21/04/2026,7000,12050,9525
Gujarat,Porbandar,"Porbandar APMC","Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,21/04/2026,17500,19625,18560
Gujarat,Porbandar,"Porbandar APMC",Soyabean,Soyabeen,Non-FAQ,21/04/2026,5000,5000,5000
Gujarat,Porbandar,"Porbandar APMC",Apple,Apple,"Grade A",21/04/2026,8000,12000,10000
Gujarat,Amreli,"Babra APMC",Groundnut,G20,FAQ,21/04/2026,6200,7400,6800
Gujarat,Amreli,"Babra APMC","Cummin Seed(Jeera)",Other,FAQ,21/04/2026,16750,20200,18475
Gujarat,Amreli,"Babra APMC",Cotton,"Shanker 6 (B) 30mm FIne",FAQ,21/04/2026,8000,9125,8560
Gujarat,Amreli,"Damnagar APMC",Cauliflower,Cauliflower,Local,21/04/2026,2000,2000,2000
Gujarat,Junagarh,"Bhesan APMC","Bengal Gram(Gram)(Whole)",Other,FAQ,21/04/2026,4000,5250,4500
Gujarat,Bhavnagar,"Taleja APMC","Corriander seed",Other,FAQ,21/04/2026,9675,11900,10790
Gujarat,Bhavnagar,"Taleja APMC","Sesamum(Sesame,Gingelly,Til)",White,FAQ,21/04/2026,9250,11325,10290
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Mango,Keshar,Local,21/04/2026,5000,17000,11000
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Pomegranate,Pomogranate,Local,21/04/2026,1500,7500,4500
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Guar,Gwar,Local,21/04/2026,500,2500,1500
Gujarat,Rajkot,"Gondal(Veg.market Gondal) APMC",Lemon,Other,Local,21/04/2026,3000,18000,10500
Gujarat,Morbi,"APMC HALVAD",Mustard,"Rai UP",Local,21/04/2026,6000,7430,7250
Gujarat,Morbi,"APMC HALVAD","Arhar(Tur/Red Gram)(Whole)",Local,Local,21/04/2026,5750,6975,6750
Gujarat,Morbi,"APMC HALVAD","Methi Seeds",Methiseeds,Local,21/04/2026,5250,6810,5875
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Cauliflower,Local,"Grade Range-1",21/04/2026,1000,1200,1100
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Brinjal,Round,"Grade Range-1",21/04/2026,2300,2500,2400
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Tomato,Tomato,"Grade Range-1",21/04/2026,3000,3200,3100
Karnataka,Mysore,"Mysore (Bandipalya) APMC","Bitter gourd","Bitter Gourd","Grade Range-1",21/04/2026,2300,2500,2400
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Ashgourd,Ashgourd,"Grade Range-1",21/04/2026,10,12,11
Karnataka,Mysore,"Mysore (Bandipalya) APMC","Green Chilli","Green Chilly","Grade Range-1",21/04/2026,2100,2300,2200
Karnataka,Mysore,"Mysore (Bandipalya) APMC","Chilly Capsicum","Chilly Capsicum","Grade Range-1",21/04/2026,1800,2300,2000
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Cabbage,Cabbage,"Grade Range-1",21/04/2026,700,1000,800
Karnataka,Mysore,"Mysore (Bandipalya) APMC",Ridgeguard(Tori),Ridgeguard(Tori),"Grade Range-1",21/04/2026,1800,2000,1900
